"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.051773848,     -0.3442777653,      -19.30707804,     -0.7417662703,       3.093759478
          0,           0,           1,      -1.499612984,       1.494321072,       0.298000614,     -0.8378808592,       2.997644945
          0,           0,           2,      -1.982149211,       1.125379302,      0.3237188117,     -0.9232185831,       2.912307178
          0,           0,           3,      -2.114543445,      0.6964396789,      0.1181183907,     -0.9917037774,       2.843821958
          0,           0,           4,      -2.045282161,      0.2375376356,     -0.1008306463,      -1.043173045,       2.792352684
          0,           0,           5,      -2.148266029,    -0.08824577414,      -0.191741726,      -1.083539409,       2.751986312
          0,           0,           6,      -2.273917841,     -0.2684116398,     -0.2763659156,      -1.119578038,       2.715947656
          0,           0,           7,      -2.416315011,     -0.3695552696,     -0.4241793946,      -1.152233401,       2.683292186
          0,           0,           8,      -2.428935975,     -0.4629261375,     -0.6908076969,      -1.176614461,       2.658910678
          0,           0,           9,      -2.504081264,     -0.5324772529,     -0.7971337447,       -1.21017253,       2.625355133
          0,           0,          10,        -2.6855564,     -0.5838515959,     -0.8103660099,      -1.305695531,       2.529846161
          0,           0,          11,      -2.996758411,     -0.6658651945,     -0.9415366392,      -1.426255839,       2.409296655
          0,           0,          12,      -2.935414905,     -0.7511052619,      -1.056594637,       -1.51498406,       2.320561022
          0,           0,          13,      -2.956108698,      -0.735217896,      -1.093733178,      -1.555565145,       2.280004951
          0,           0,          14,      -3.111791834,     -0.8199637138,      -1.135473067,      -1.570667587,       2.265022246
          0,           0,          15,      -3.178820874,     -0.8528796549,       -1.21186689,      -1.560253347,       2.275491296
          0,           0,          16,      -3.274063198,     -0.9113999825,      -1.292176182,      -1.621207193,       2.214648441
          0,           0,          17,      -3.351890965,     -0.9971384377,      -1.347351255,      -1.788784096,       2.047145266
          0,           0,          18,      -3.441973545,      -1.113530148,      -1.381432923,      -2.131021649,       1.704983949
          0,           0,          19,      -3.543283843,      -1.266087291,      -1.429648795,      -2.320891063,       1.514524594
          0,           0,          20,      -3.684089019,      -1.417861063,      -1.503009514,      -2.486232832,       1.348149098
          0,           0,          21,      -3.795976547,      -1.517377549,      -1.620735198,      -2.612014421,       1.222027631
          0,           0,          22,      -3.861488073,      -1.584746332,      -1.769973507,      -2.716442109,       1.118639052
          0,           0,          23,      -3.935138773,      -1.671844278,      -1.918175216,      -2.840962015,      0.9961879465
          0,           0,          24,      -4.046189571,      -1.787328005,       -2.04685296,      -2.990183396,      0.8474306557
          0,           0,          25,      -4.174598907,      -1.912696259,      -2.172330993,      -3.159000111,      0.6785983945
          0,           0,          26,       -4.29313441,      -2.026677724,      -2.296414833,      -3.327233529,      0.5099820489
          0,           0,          27,      -4.384341546,      -2.116545227,      -2.401440549,      -3.483542091,      0.3530310575
          0,           0,          28,      -4.447962219,      -2.187207785,      -2.489528646,      -3.617253553,      0.2190364196
          0,           0,          29,      -4.494046227,      -2.249255448,      -2.573668637,      -3.739856674,     0.09661124205
