"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.380029909,      -2.400593184,      -3.116798148,     0.01353362779,      -1.010784715,       3.235231316
          0,           0,           9,                 0,      -5.764034459,      -2.704183125,      -3.794545566,      -0.785798856,      -2.350120799,        2.91527617
          0,           0,           9,                 0,      -5.873838918,      -2.890239034,       -3.97303575,      -1.370190166,      -2.332423562,       2.494216167
          0,           0,           9,                 0,      -5.939492818,      -3.029040567,      -4.010194448,      -1.652074598,      -2.305526721,       2.139196547
          0,           0,           9,                 0,       -5.99346452,       -3.14122745,      -4.033198241,      -1.723332099,      -2.360680415,       1.930999295
          0,           0,           9,                 0,      -6.021459964,      -3.232139367,      -4.046972024,      -1.786714991,      -2.428800585,       1.786113759
          0,           0,           9,                 0,      -6.025712012,       -3.30648468,      -4.055581701,      -1.841913879,      -2.495792496,       1.660674346
          0,           0,           9,                 0,      -6.019766561,      -3.368619955,      -4.059192231,      -1.844958738,      -2.558739549,       1.549884555
          0,           0,           9,                 0,      -6.004815946,      -3.421820489,      -4.061652519,      -1.857748043,      -2.617406738,       1.454235737
          0,           0,           9,                 0,      -5.985871553,      -3.467280918,      -4.062588477,       -1.86229176,      -2.672163471,       1.371699766
