"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.210775544,      -4.900996061
          0,           0,           1,      -2.639420961,       0.130568192,      0.2165599222,       2.867059512,      -5.209438035
          0,           0,           2,       -2.51731924,     0.06645520415,     -0.5051208216,       2.976610692,      -5.580839568
          0,           0,           3,      -2.796502551,   -0.002821098388,     -0.4691009225,       2.692343101,      -5.887714744
          0,           0,           4,      -3.271759148,    -0.05069027758,     -0.7980879636,       2.206163431,      -6.008762977
          0,           0,           5,      -3.512008446,    -0.09573386895,      -0.911730034,       1.979257269,      -6.098616763
          0,           0,           6,      -3.643387414,     -0.1411560874,     -0.9875164376,       1.858525271,      -6.176444796
          0,           0,           7,       -3.73767997,     -0.1849684187,      -1.121851631,       1.769472591,      -6.245718206
          0,           0,           8,      -3.812253734,     -0.2269153673,      -1.233849635,       1.701313723,      -6.306423408
          0,           0,           9,      -3.902175277,     -0.2673477592,      -1.293518712,       1.618150303,      -6.357718301
          0,           0,          10,      -3.988215169,     -0.3061747684,      -1.321081426,       1.531379656,      -6.401410286
          0,           0,          11,      -4.044645634,     -0.3434109818,       -1.34987373,       1.459325037,      -6.445319286
          0,           0,          12,      -4.072058649,      -0.379362601,      -1.396514572,       1.409419039,      -6.480729438
          0,           0,          13,        -4.0927041,     -0.4143121149,      -1.457777379,         1.3737553,      -6.519574858
          0,           0,          14,      -4.121918821,     -0.4483354926,      -1.519354733,       1.340820963,      -6.553908842
          0,           0,          15,      -4.160860695,     -0.4813869453,      -1.568505079,       1.306068109,      -6.591857129
          0,           0,          16,      -4.202782105,     -0.5134570106,      -1.605695046,       1.271178387,      -6.628684286
          0,           0,          17,      -4.240241862,     -0.5446337757,      -1.640924478,       1.239181901,      -6.660961558
          0,           0,          18,      -4.270236625,     -0.5750460179,      -1.681426467,       1.211347017,      -6.693995356
          0,           0,          19,      -4.294516152,     -0.6047808959,      -1.726542816,        1.18709581,      -6.717993033
          0,           0,          20,      -4.316128163,     -0.6338555564,      -1.770096417,       1.165393391,      -6.738719638
          0,           0,          21,      -4.336724647,     -0.6622454078,      -1.806448036,       1.145674596,      -6.764185655
          0,           0,          22,      -4.356390635,     -0.6899325827,      -1.835641124,       1.127786112,      -6.792638699
          0,           0,          23,      -4.374717765,     -0.7169284127,      -1.862380699,       1.111518181,      -6.815936525
          0,           0,          24,      -4.391675294,     -0.7432644038,      -1.891055775,       1.096353818,      -6.841977298
          0,           0,          25,      -4.407711135,     -0.7689712567,      -1.922807345,       1.081630428,      -6.869223837
          0,           0,          26,       -4.42334572,     -0.7940676796,      -1.955923208,       1.066879072,      -6.892806419
          0,           0,          27,      -4.438809024,     -0.8185634468,      -1.987862946,       1.052013674,      -6.918426259
          0,           0,          28,      -4.454021406,     -0.8424686796,      -2.017195263,       1.037233624,      -6.937143924
          0,           0,          29,      -4.468818869,     -0.8657998387,      -2.044202323,       1.022767561,      -6.953123481
          0,           0,          30,      -4.483155918,     -0.8885773054,      -2.070087947,       1.008685448,      -6.969018977
          0,           0,          31,      -4.497128065,     -0.9108206464,      -2.095875575,      0.9948986065,      -6.988413914
          0,           0,          32,      -4.510858729,     -0.9325453139,      -2.121892641,      0.9812859938,      -7.011177471
          0,           0,          33,       -4.52439727,     -0.9537621983,      -2.147875783,      0.9678007449,      -7.042949775
          0,           0,          34,      -4.537712157,     -0.9744790695,      -2.173321595,       0.954478418,      -7.079016065
          0,           0,          35,      -4.550751258,     -0.9947032823,      -2.197795822,      0.9413776806,      -7.100340608
          0,           0,          36,       -4.56349424,      -1.014443532,      -2.221111109,      0.9285280745,      -7.114466604
          0,           0,          37,      -4.575956944,      -1.033709844,      -2.243378415,      0.9159246314,      -7.125662957
          0,           0,          38,      -4.588165435,      -1.052513523,      -2.264943735,       0.903552203,      -7.135813771
          0,           0,          39,      -4.600136077,      -1.070866843,      -2.286234635,      0.8914040597,      -7.146656354
          0,           0,          40,      -4.611877448,      -1.088782521,      -2.307585091,      0.8794793884,      -7.157484883
          0,           0,          41,       -4.62340275,      -1.106273174,      -2.329128565,       0.867770867,      -7.168077884
          0,           0,          42,      -4.634735157,      -1.123350875,      -2.350808064,      0.8562596084,      -7.182827281
          0,           0,          43,      -4.645900947,      -1.140027017,      -2.372477864,      0.8449224405,      -7.195079598
          0,           0,          44,        -4.6569185,       -1.15631228,      -2.394020712,      0.8337432909,       -7.20437958
          0,           0,          45,      -4.667792759,      -1.172216875,      -2.415409679,      0.8227190025,       -7.21303258
          0,           0,          46,      -4.678518333,      -1.187750764,      -2.436694302,       0.811856354,      -7.224389397
          0,           0,          47,       -4.68908702,      -1.202923743,      -2.457943641,      0.8011645215,      -7.236496754
          0,           0,          48,      -4.699494089,      -1.217745554,      -2.479195679,      0.7906487807,      -7.246777914
          0,           0,          49,      -4.709740578,      -1.232225992,      -2.500442097,      0.7803082678,      -7.259984028
          0,           0,          50,      -4.719832217,      -1.246374873,      -2.521645803,      0.7701371716,      -7.271146255
          0,           0,          51,      -4.729776948,      -1.260202043,      -2.542770208,      0.7601272653,      -7.283016173
          0,           0,          52,      -4.739582415,      -1.273717274,      -2.563799985,      0.7502703315,      -7.294728123
          0,           0,          53,      -4.749254178,      -1.286930207,      -2.584744452,      0.7405597504,      -7.302111754
          0,           0,          54,      -4.758794861,      -1.299850298,      -2.605626866,      0.7309911115,      -7.307150483
          0,           0,          55,      -4.768204207,      -1.312486665,      -2.626468812,      0.7215619955,      -7.311088602
          0,           0,          56,      -4.777479762,      -1.324848049,      -2.647278416,      0.7122712739,      -7.314499411
          0,           0,          57,      -4.786617844,      -1.336942835,      -2.668047083,       0.703118301,      -7.317828799
          0,           0,          58,       -4.79561439,      -1.348779111,       -2.68875451,      0.6941023672,      -7.320930859
          0,           0,          59,      -4.804465485,      -1.360364734,      -2.709378146,      0.6852225462,      -7.323650896
          0,           0,          60,      -4.813167627,       -1.37170739,      -2.729901957,      0.6764778152,      -7.326321079
          0,           0,          61,      -4.821717973,      -1.382814607,      -2.750320655,      0.6678671678,      -7.329537876
          0,           0,          62,      -4.830114691,      -1.393693756,      -2.770638393,      0.6593895539,       -7.33547882
          0,           0,          63,      -4.838357389,      -1.404352028,      -2.790863826,      0.6510436586,      -7.345621855
          0,           0,          64,      -4.846447469,      -1.414796354,      -2.811004694,      0.6428276413,      -7.357922093
          0,           0,          65,      -4.854388193,      -1.425033374,      -2.831064389,      0.6347390427,      -7.368041148
          0,           0,          66,      -4.862184485,      -1.435069497,      -2.851041181,        0.62677487,      -7.377471104
          0,           0,          67,      -4.869842555,      -1.444910884,      -2.870929067,      0.6189317694,      -7.384023115
          0,           0,          68,      -4.877369362,       -1.45456345,      -2.890718655,      0.6112062694,      -7.387199069
          0,           0,          69,      -4.884772058,      -1.464032886,      -2.910397005,        0.60359502,      -7.388281486
          0,           0,          70,      -4.892057549,      -1.473324663,      -2.929946234,      0.5960949184,      -7.388156052
          0,           0,          71,      -4.899232212,      -1.482444043,      -2.949341697,      0.5887031146,      -7.387416117
          0,           0,          72,      -4.906301741,      -1.491396088,       -2.96855086,      0.5814169564,      -7.386342931
          0,           0,          73,      -4.913271083,      -1.500185658,       -2.98753382,      0.5742339072,      -7.385115127
          0,           0,          74,      -4.920144462,      -1.508817412,      -3.006245971,      0.5671514715,      -7.383970334
          0,           0,          75,      -4.926925433,      -1.517295808,      -3.024642743,       0.560167162,       -7.38295931
          0,           0,          76,      -4.933616948,       -1.52562511,      -3.042685728,      0.5532785203,      -7.381848055
          0,           0,          77,      -4.940221426,      -1.533809396,      -3.060349052,      0.5464831791,      -7.380544053
          0,           0,          78,      -4.946740815,      -1.541852575,      -3.077624542,      0.5397789422,      -7.379184522
          0,           0,          79,      -4.953176666,      -1.549758406,      -3.094524361,      0.5331638539,      -7.377822593
          0,           0,          80,      -4.959530217,      -1.557530515,      -3.111080139,      0.5266362338,      -7.376355343
          0,           0,          81,      -4.965802474,      -1.565172413,      -3.127338881,      0.5201946695,      -7.375127738
          0,           0,          82,      -4.971994307,      -1.572687514,      -3.143355799,      0.5138379649,      -7.374887857
          0,           0,          83,       -4.97810653,       -1.58007914,       -3.15918609,       0.507565066,      -7.374741961
          0,           0,          84,      -4.984139971,      -1.587350519,      -3.174877054,      0.5013749725,      -7.373786444
          0,           0,          85,      -4.990095511,      -1.594504784,      -3.190462041,      0.4952666679,      -7.372319963
          0,           0,          86,      -4.995974105,      -1.601544978,      -3.205957099,      0.4892390687,      -7.370660475
          0,           0,          87,      -5.001776806,      -1.608474053,      -3.221360546,      0.4832909881,      -7.368961976
          0,           0,          88,      -5.007504766,      -1.615294873,      -3.236655078,      0.4774211233,       -7.36724905
          0,           0,          89,      -5.013159243,      -1.622010205,      -3.251811581,      0.4716280601,      -7.365610731
          0,           0,          90,      -5.018741595,      -1.628622727,      -3.266793618,      0.4659102862,      -7.364472534
          0,           0,          91,      -5.024253282,      -1.635135028,       -3.28156165,      0.4602662053,      -7.363727209
          0,           0,          92,       -5.02969587,       -1.64154961,      -3.296076332,      0.4546941511,      -7.362565423
          0,           0,          93,      -5.035071021,        -1.6478689,      -3.310300623,      0.4491923999,       -7.36095708
          0,           0,          94,      -5.040380487,      -1.654095253,      -3.324200742,       0.443759184,      -7.359170436
